trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.2, 'e': 0.46301306831122807}",25,5,19.51732120323888,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.2, 'e': 0.4607037809989658}",20,13,0.9503408019029147,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.4584060113052235}",20,0,-7.331175905755834,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
157,False,"{'a': 0.2, 'e': 0.4561197017856392}",25,6,-18.92499419272827,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 0}",1
158,False,"{'a': 0.2, 'e': 0.45384479528235583}",25,0,-114.9027167724683,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
159,False,"{'a': 0.2, 'e': 0.4515812349225922}",25,16,17.972264311049205,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.44932896411722156}",30,9,-73.15159549977547,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 2}",1
161,False,"{'a': 0.2, 'e': 0.4470879265593564}",30,10,-61.82460588202793,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
162,False,"{'a': 0.2, 'e': 0.4448580662229411}",20,0,-33.753831668517265,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
163,False,"{'a': 0.2, 'e': 0.4426393273613511}",30,11,-11.251246152496952,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.44043165450599925}",20,3,-6.783525309232504,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.4382349924649492}",30,16,-8.250092286647408,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.43604928632153556}",25,0,-24.29656383484871,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
167,False,"{'a': 0.2, 'e': 0.4338744814329909}",20,0,-35.79707497790291,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
168,False,"{'a': 0.2, 'e': 0.43171052342907973}",20,0,12.220378354795779,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
169,False,"{'a': 0.2, 'e': 0.42955735821073915}",25,11,10.51370187508901,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.4274149319487267}",30,0,-148.97351865443642,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
171,False,"{'a': 0.2, 'e': 0.42528319108227414}",20,14,-13.536243575562096,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.4231620823177488}",25,1,-47.26307903882924,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
173,False,"{'a': 0.2, 'e': 0.4210515526273212}",25,0,-69.62901826352179,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
174,False,"{'a': 0.2, 'e': 0.418951549247639}",35,20,12.196909380760749,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.4168620196785084}",20,12,-27.850625054162407,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
176,False,"{'a': 0.2, 'e': 0.4147829116815814}",25,11,9.09395923542375,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.4127141732790497}",35,18,-71.6358206231328,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 2}",1
178,False,"{'a': 0.2, 'e': 0.4106557527523455}",25,0,-26.259736713071632,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
179,False,"{'a': 0.2, 'e': 0.40860759864084845}",20,0,-9.81452234650776,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
180,False,"{'a': 0.2, 'e': 0.4065696597405991}",25,18,-37.56158663846307,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.2, 'e': 0.4045418851030188}",20,16,8.230419664501524,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
